         table_name         |           column_name           |        data_type         
----------------------------+---------------------------------+--------------------------
 accused                    | accused_id                      | text
 accused                    | crime_id                        | text
 accused                    | person_id                       | text
 accused                    | accused_code                    | text
 accused                    | accused_status                  | text
 accused                    | seq_num                         | text
 accused                    | accused_type                    | text
 accused                    | is_ccl                          | boolean
 accused                    | physical_features               | jsonb
 accused                    | ingested_at                     | timestamp with time zone
 accused                    | updated_at                      | timestamp with time zone
 arrests                    | id                              | bigint
 arrests                    | crime_id                        | text
 arrests                    | person_id                       | text
 arrests                    | accused_code                    | text
 arrests                    | accused_seq_no                  | text
 arrests                    | accused_type                    | text
 arrests                    | arrested_date                   | text
 arrests                    | date_of_issue_41a               | text
 arrests                    | is_41a_crpc                     | boolean
 arrests                    | is_41a_explain_submitted        | boolean
 arrests                    | is_absconding                   | boolean
 arrests                    | is_apprehended                  | boolean
 arrests                    | is_arrested                     | boolean
 arrests                    | is_ccl                          | boolean
 arrests                    | is_died                         | boolean
 arrests                    | payload                         | jsonb
 arrests                    | ingested_at                     | timestamp with time zone
 arrests                    | updated_at                      | timestamp with time zone
 case_properties            | case_property_id                | text
 case_properties            | crime_id                        | text
 case_properties            | mo_id                           | text
 case_properties            | fsl_request_id                  | text
 case_properties            | status                          | text
 case_properties            | cpr_no                          | text
 case_properties            | case_type                       | text
 case_properties            | court_name                      | text
 case_properties            | court_order_number              | text
 case_properties            | court_order_date                | text
 case_properties            | expert_type                     | text
 case_properties            | strength_of_evidence            | text
 case_properties            | assign_custody                  | text
 case_properties            | date_custody                    | text
 case_properties            | date_disposal                   | text
 case_properties            | details_disposal                | text
 case_properties            | fsl_no                          | text
 case_properties            | fsl_date                        | text
 case_properties            | fsl_court_name                  | text
 case_properties            | media                           | jsonb
 case_properties            | payload                         | jsonb
 case_properties            | date_created_api                | timestamp with time zone
 case_properties            | date_modified_api               | timestamp with time zone
 case_properties            | ingested_at                     | timestamp with time zone
 case_properties            | updated_at                      | timestamp with time zone
 charge_sheet_updates       | update_charge_sheet_id          | text
 charge_sheet_updates       | crime_id                        | text
 charge_sheet_updates       | charge_sheet_no                 | text
 charge_sheet_updates       | charge_sheet_date               | text
 charge_sheet_updates       | charge_sheet_status             | text
 charge_sheet_updates       | taken_on_file                   | jsonb
 charge_sheet_updates       | date_created_api                | timestamp with time zone
 charge_sheet_updates       | ingested_at                     | timestamp with time zone
 charge_sheet_updates       | updated_at                      | timestamp with time zone
 chargesheet_accused        | id                              | bigint
 chargesheet_accused        | charge_sheet_id                 | text
 chargesheet_accused        | accused_payload                 | jsonb
 chargesheet_acts_sections  | id                              | bigint
 chargesheet_acts_sections  | charge_sheet_id                 | text
 chargesheet_acts_sections  | act_section_payload             | jsonb
 chargesheets               | charge_sheet_id                 | text
 chargesheets               | crime_id                        | text
 chargesheets               | charge_sheet_no                 | text
 chargesheets               | charge_sheet_no_for_icjs        | text
 chargesheets               | charge_sheet_date               | text
 chargesheets               | charge_sheet_type               | text
 chargesheets               | court_name                      | text
 chargesheets               | is_ccl                          | boolean
 chargesheets               | is_esigned                      | boolean
 chargesheets               | upload_charge_sheet             | jsonb
 chargesheets               | date_created_api                | timestamp with time zone
 chargesheets               | date_modified_api               | timestamp with time zone
 chargesheets               | ingested_at                     | timestamp with time zone
 chargesheets               | updated_at                      | timestamp with time zone
 crimes                     | crime_id                        | text
 crimes                     | fir_num                         | text
 crimes                     | fir_reg_num                     | text
 crimes                     | fir_date                        | text
 crimes                     | fir_type                        | text
 crimes                     | fir_copy_file_id                | uuid
 crimes                     | case_status                     | text
 crimes                     | crime_type                      | text
 crimes                     | acts_sections                   | text
 crimes                     | brief_facts                     | text
 crimes                     | court_name                      | text
 crimes                     | io_name                         | text
 crimes                     | io_rank                         | text
 crimes                     | io_mobile                       | text
 crimes                     | ps_code                         | text
 crimes                     | major_head                      | text
 crimes                     | minor_head                      | text
 crimes                     | complainant_id                  | text
 crimes                     | gd                              | jsonb
 crimes                     | occurrence_date                 | jsonb
 crimes                     | place_of_offence                | jsonb
 crimes                     | date_created_api                | timestamp with time zone
 crimes                     | date_modified_api               | timestamp with time zone
 crimes                     | ingested_at                     | timestamp with time zone
 crimes                     | updated_at                      | timestamp with time zone
 disposals                  | crime_id                        | text
 disposals                  | case_status                     | text
 disposals                  | disposal                        | text
 disposals                  | disposal_type                   | text
 disposals                  | disposed_date                   | text
 disposals                  | ingested_at                     | timestamp with time zone
 disposals                  | updated_at                      | timestamp with time zone
 etl_checkpoints            | checkpoint_key                  | text
 etl_checkpoints            | endpoint_key                    | text
 etl_checkpoints            | last_success_date               | date
 etl_checkpoints            | last_success_at                 | timestamp with time zone
 etl_checkpoints            | last_window_from                | date
 etl_checkpoints            | last_window_to                  | date
 etl_checkpoints            | cursor_payload                  | jsonb
 etl_checkpoints            | updated_at                      | timestamp with time zone
 etl_endpoint_runs          | run_id                          | uuid
 etl_endpoint_runs          | job_id                          | uuid
 etl_endpoint_runs          | endpoint_key                    | text
 etl_endpoint_runs          | window_from                     | date
 etl_endpoint_runs          | window_to                       | date
 etl_endpoint_runs          | status                          | text
 etl_endpoint_runs          | attempt                         | integer
 etl_endpoint_runs          | started_at                      | timestamp with time zone
 etl_endpoint_runs          | finished_at                     | timestamp with time zone
